parameterType	shortName	Parameter1	Parameter2	libtype master
fastqFile	TestNode01GE	/ngs/data/demo/test/fastq_data/TestNode01GE/TestNode01GE_S33_L001_R1_001.fastq.gz	/ngs/data/demo/test/fastq_data/TestNode01GE/TestNode01GE_S33_L001_R2_001.fastq.gz	GEX	TestNode01
fastqFile	TestNode01GE	/ngs/data/demo/test/fastq_data/TestNode01GE/TestNode01GE_S33_L002_R1_001.fastq.gz	/ngs/data/demo/test/fastq_data/TestNode01GE/TestNode01GE_S33_L002_R2_001.fastq.gz	GEX	TestNode01
fastqFile	TestNode02GE	/ngs/data/demo/test/fastq_data/TestNode02GE/TestNode02GE_S34_L001_R1_001.fastq.gz	/ngs/data/demo/test/fastq_data/TestNode02GE/TestNode02GE_S34_L001_R2_001.fastq.gz	GEX	TestNode02
fastqFile	TestNode02GE	/ngs/data/demo/test/fastq_data/TestNode02GE/TestNode02GE_S34_L002_R1_001.fastq.gz	/ngs/data/demo/test/fastq_data/TestNode02GE/TestNode02GE_S34_L002_R2_001.fastq.gz	GEX	TestNode02
fastqFile	TestNode03GE	/ngs/data/demo/test/fastq_data/TestNode03GE/TestNode03GE_S35_L001_R1_001.fastq.gz	/ngs/data/demo/test/fastq_data/TestNode03GE/TestNode03GE_S35_L001_R2_001.fastq.gz	GEX	TestNode03
fastqFile	TestNode03GE	/ngs/data/demo/test/fastq_data/TestNode03GE/TestNode03GE_S35_L002_R1_001.fastq.gz	/ngs/data/demo/test/fastq_data/TestNode03GE/TestNode03GE_S35_L002_R2_001.fastq.gz	GEX	TestNode03
fastqFile	TestNode04GE	/ngs/data/demo/test/fastq_data/TestNode04GE/TestNode04GE_S36_L001_R1_001.fastq.gz	/ngs/data/demo/test/fastq_data/TestNode04GE/TestNode04GE_S36_L001_R2_001.fastq.gz	GEX	TestNode04
fastqFile	TestNode04GE	/ngs/data/demo/test/fastq_data/TestNode04GE/TestNode04GE_S36_L002_R1_001.fastq.gz	/ngs/data/demo/test/fastq_data/TestNode04GE/TestNode04GE_S36_L002_R2_001.fastq.gz	GEX	TestNode04
fastqFile	TestNode05GE	/ngs/data/demo/test/fastq_data/TestNode05GE/TestNode05GE_S37_L001_R1_001.fastq.gz	/ngs/data/demo/test/fastq_data/TestNode05GE/TestNode05GE_S37_L001_R2_001.fastq.gz	GEX	TestNode05
fastqFile	TestNode05GE	/ngs/data/demo/test/fastq_data/TestNode05GE/TestNode05GE_S37_L002_R1_001.fastq.gz	/ngs/data/demo/test/fastq_data/TestNode05GE/TestNode05GE_S37_L002_R2_001.fastq.gz	GEX	TestNode05
fastqFile	TestNode06GE	/ngs/data/demo/test/fastq_data/TestNode06GE/TestNode06GE_S38_L001_R1_001.fastq.gz	/ngs/data/demo/test/fastq_data/TestNode06GE/TestNode06GE_S38_L001_R2_001.fastq.gz	GEX	TestNode06
fastqFile	TestNode06GE	/ngs/data/demo/test/fastq_data/TestNode06GE/TestNode06GE_S38_L002_R1_001.fastq.gz	/ngs/data/demo/test/fastq_data/TestNode06GE/TestNode06GE_S38_L002_R2_001.fastq.gz	GEX	TestNode06
fastqFile	TestNode07GE	/ngs/data/demo/test/fastq_data/TestNode07GE/TestNode07GE_S39_L001_R1_001.fastq.gz	/ngs/data/demo/test/fastq_data/TestNode07GE/TestNode07GE_S39_L001_R2_001.fastq.gz	GEX	TestNode07
fastqFile	TestNode07GE	/ngs/data/demo/test/fastq_data/TestNode07GE/TestNode07GE_S39_L002_R1_001.fastq.gz	/ngs/data/demo/test/fastq_data/TestNode07GE/TestNode07GE_S39_L002_R2_001.fastq.gz	GEX	TestNode07
fastqFile	TestNode08GE	/ngs/data/demo/test/fastq_data/TestNode08GE/TestNode08GE_S40_L001_R1_001.fastq.gz	/ngs/data/demo/test/fastq_data/TestNode08GE/TestNode08GE_S40_L001_R2_001.fastq.gz	GEX	TestNode08
fastqFile	TestNode08GE	/ngs/data/demo/test/fastq_data/TestNode08GE/TestNode08GE_S40_L002_R1_001.fastq.gz	/ngs/data/demo/test/fastq_data/TestNode08GE/TestNode08GE_S40_L002_R2_001.fastq.gz	GEX	TestNode08
fastqFile	TestNode01dCode	/ngs/data/demo/test/fastq_data/TestNode01dCode/TestNode01dCode_S1_L001_R1_001.fastq.gz	/ngs/data/demo/test/fastq_data/TestNode01dCode/TestNode01dCode_S1_L001_R2_001.fastq.gz	custom	TestNode01
fastqFile	TestNode01dCode	/ngs/data/demo/test/fastq_data/TestNode01dCode/TestNode01dCode_S1_L002_R1_001.fastq.gz	/ngs/data/demo/test/fastq_data/TestNode01dCode/TestNode01dCode_S1_L002_R2_001.fastq.gz	custom	TestNode01
fastqFile	TestNode02dCode	/ngs/data/demo/test/fastq_data/TestNode02dCode/TestNode02dCode_S2_L001_R1_001.fastq.gz	/ngs/data/demo/test/fastq_data/TestNode02dCode/TestNode02dCode_S2_L001_R2_001.fastq.gz	custom	TestNode02
fastqFile	TestNode02dCode	/ngs/data/demo/test/fastq_data/TestNode02dCode/TestNode02dCode_S2_L002_R1_001.fastq.gz	/ngs/data/demo/test/fastq_data/TestNode02dCode/TestNode02dCode_S2_L002_R2_001.fastq.gz	custom	TestNode02
fastqFile	TestNode01VDJ	/ngs/data/demo/test/fastq_data/TestNode01VDJ/TestNode01VDJ_S17_L001_R1_001.fastq.gz	/ngs/data/demo/test/fastq_data/TestNode01VDJ/TestNode01VDJ_S17_L001_R2_001.fastq.gz	VDJ	TestNode01
fastqFile	TestNode01VDJ	/ngs/data/demo/test/fastq_data/TestNode01VDJ/TestNode01VDJ_S17_L002_R1_001.fastq.gz	/ngs/data/demo/test/fastq_data/TestNode01VDJ/TestNode01VDJ_S17_L002_R2_001.fastq.gz	VDJ	TestNode01
fastqFile	TestNode02VDJ	/ngs/data/demo/test/fastq_data/TestNode02VDJ/TestNode02VDJ_S18_L001_R1_001.fastq.gz	/ngs/data/demo/test/fastq_data/TestNode02VDJ/TestNode02VDJ_S18_L001_R2_001.fastq.gz	VDJ	TestNode02
fastqFile	TestNode02VDJ	/ngs/data/demo/test/fastq_data/TestNode02VDJ/TestNode02VDJ_S18_L002_R1_001.fastq.gz	/ngs/data/demo/test/fastq_data/TestNode02VDJ/TestNode02VDJ_S18_L002_R2_001.fastq.gz	VDJ	TestNode02
fastqFile	TestNode03VDJ	/ngs/data/demo/test/fastq_data/TestNode03VDJ/TestNode03VDJ_S19_L001_R1_001.fastq.gz	/ngs/data/demo/test/fastq_data/TestNode03VDJ/TestNode03VDJ_S19_L001_R2_001.fastq.gz	VDJ	TestNode03
fastqFile	TestNode03VDJ	/ngs/data/demo/test/fastq_data/TestNode03VDJ/TestNode03VDJ_S19_L002_R1_001.fastq.gz	/ngs/data/demo/test/fastq_data/TestNode03VDJ/TestNode03VDJ_S19_L002_R2_001.fastq.gz	VDJ	TestNode03
